City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Gomel,BY,57.83,light rain,52.4345,30.9754,Turyst
505,Dingle,PH,75.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
506,Mandalgovi,MN,68.9,overcast clouds,45.7625,106.2708,В.Ганбат
507,La Ronge,CA,77.22,broken clouds,55.1001,-105.2842,Northland Motor Hotel
508,Bonthe,SL,76.95,moderate rain,7.5264,-12.505,Bonthe Holiday Village
509,Seoul,KR,74.77,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
510,Meulaboh,ID,78.17,broken clouds,4.1363,96.1285,Kost Pria
512,Batemans Bay,AU,52.11,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
513,Otradnoye,RU,59.09,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
514,Domoni,KM,75.6,broken clouds,-12.2569,44.5319,Al Djadid
515,Bogorodskoye,RU,61.3,overcast clouds,56.55,37.8833,Sosnoviy Bor
516,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Hotel San Juan
517,Markova,UA,60.8,overcast clouds,48.6758,24.4138,Vas.VOM
518,Sechura,PE,73.94,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
519,Itumba,TZ,54.37,scattered clouds,-9.4,33.1833,Swila Guest House
520,Xining,CN,53.22,overcast clouds,36.6167,101.7667,Super Leisure Hotel
521,Vitim,RU,56.71,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
525,Belfast,GB,75.79,overcast clouds,54.5833,-5.9333,Wellington Park Hotel
528,Nabire,ID,74.26,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
529,Iguape,BR,68.05,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
530,Tabou,CI,76.87,overcast clouds,4.423,-7.3528,hotêl doufoulougou
534,Byron Bay,AU,57.7,scattered clouds,-28.65,153.6167,Backpackers Inn
535,Primo Tapia,MX,72.99,overcast clouds,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
536,Kismayo,SO,76.08,clear sky,-0.3582,42.5454,Agan-Hotel
537,Altay,CN,67.17,scattered clouds,47.8667,88.1167,Jinqiao Hotel
539,Peru,US,76.6,overcast clouds,40.7537,-86.0689,Cole Porter Inn
540,Kingaroy,AU,52.43,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
544,Tezu,IN,77.63,broken clouds,27.9167,96.1667,Circuit House
545,Alihe,CN,64.94,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
546,Edson,CA,62.74,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
550,Angoche,MZ,70.52,light rain,-16.2325,39.9086,Guest House HESADA
551,Kendallville,US,74.98,broken clouds,41.4414,-85.265,Best Western Kendallville Inn
